E_alpha,E_beta,E_theta,E_delta,R,Label
173069.00024414062,19586.80152893066,13962.745666503906,19586.80152893066,8.836001119861724,0
79789.69812393188,37397.44424819947,1253.187656402588,37397.44424819947,2.133560186476471,0
125318.7656402588,51783.68091583251,4673.004150390625,51783.68091583251,2.42004360107092,0
226181.9839477539,29237.031936645504,21457.672119140625,29237.031936645504,7.736147240864723,0
234619.140625,32410.860061645508,24720.191955566406,32410.860061645508,7.238905113247659,0
131441.6527748108,65495.31221389771,11591.970920562744,65495.31221389771,2.006886421818136,0
119173.28834533691,76155.90095520018,13847.589492797852,76155.90095520018,1.5648595427351366,0
352249.2051124573,120834.64860916138,105276.16739273071,120834.64860916138,2.915134104058218,0
316406.25,50817.13199615479,93729.25758361816,50817.13199615479,6.226369682254829,0
100112.9150390625,18506.64615631104,5581.140518188477,18506.64615631104,5.409565525459756,0
103383.60071182252,63522.8753089905,9394.22845840454,63522.8753089905,1.6275019071309331,0
166430.5329322815,31834.661960601803,19981.92071914673,31834.661960601803,5.227966081067672,0
198738.33656311035,16832.590103149418,21888.97132873535,16832.590103149418,11.806759111060748,0
125664.71099853516,23737.07294464111,12502.90870666504,23737.07294464111,5.294027249762708,0
86117.02919006348,76382.63702392578,11644.601821899414,76382.63702392578,1.127442473124992,0
84690.09399414062,36619.78244781494,7469.415664672852,36619.78244781494,2.312686977723812,0
165634.69171524048,15794.57521438598,16553.938388824463,15794.57521438598,10.486808886406608,0
193763.3156776428,32459.7954750061,33796.37002944946,32459.7954750061,5.969332611070816,0
164642.5724029541,131090.40260314938,53793.19190979004,131090.40260314938,1.255946805666448,0
107026.1001586914,63300.728797912605,20748.37684631348,63300.728797912605,1.6907562075686668,0
122056.06698989868,9835.064411163328,18758.83340835572,9835.064411163328,12.410296657677042,0
188851.35650634769,18951.6544342041,34427.642822265625,18951.6544342041,9.964900803884817,0
101352.69165039062,56314.46838378906,11750.221252441406,56314.46838378906,1.7997629127857748,0
70427.00052261353,61035.93111038208,1583.6358070373535,61035.93111038208,1.1538613279323602,0
173678.9345741272,17529.070377349857,16303.598880767822,17529.070377349857,9.908051644230143,0
240808.7253570557,16853.809356689457,61285.25733947754,16853.809356689457,14.288088838591028,0
132861.6738319397,46099.0071296692,38817.46530532837,46099.0071296692,2.8820940428981663,0
68241.35780334473,51203.966140747085,10019.540786743164,51203.966140747085,1.332735780969897,0
131441.6527748108,33208.1913948059,18625.31900405884,33208.1913948059,3.95810934754398,0
239612.1621131897,36389.648914337165,62377.989292144775,36389.648914337165,6.5846241791792846,0
213139.1167640686,90222.65672683714,108147.20392227171,90222.65672683714,2.3623679959833126,0
72515.54727554321,80280.3635597229,29457.151889801025,80280.3635597229,0.9032787603359168,0
