E_alpha,E_beta,E_theta,E_delta,R,Label
249024.3911743164,112520.33710479736,24566.8888092041,112520.33710479736,2.2131500631959904,1
293755.5313110352,91940.16456604004,15381.813049316406,91940.16456604004,3.195072933549432,1
23882.92551040649,8770.763874053953,451.1475563049317,8770.763874053953,2.723015446927944,1
3906.25,1240.253448486328,1235.9619140625,1240.253448486328,3.14955786236063,1
27399.301528930664,13638.734817504885,3044.366836547852,13638.734817504885,2.0089327855956647,1
341893.73254776,117016.85190200809,23582.04126358032,117016.85190200809,2.921747825125801,1
312845.76654434204,140244.54355239865,45218.52731704712,140244.54355239865,2.230716137825751,1
84122.6577758789,73197.96085357667,24566.8888092041,73197.96085357667,1.149248651122341,1
411339.3425941467,253345.07226943973,42157.23276138306,253345.07226943973,1.623632695553974,1
442601.74036026,182998.9552497864,44186.17486953735,182998.9552497864,2.41860255298248,1
57712.55493164063,11380.19561767578,2884.8648071289062,11380.19561767578,5.071314841196682,1
9970.72458267212,8724.03383255005,3071.3677406311035,8724.03383255005,1.1429030164315237,1
11278.688907623293,13037.025928497314,13448.29797744751,13037.025928497314,0.8651274431363585,1
22838.175296783447,2727.329730987549,5472.242832183838,2727.329730987549,8.373822584522587,1
63234.56764221192,4878.640174865723,61.03515625,4878.640174865723,12.961514966401957,1
174902.0218849182,85360.10980606076,10265.40994644165,85360.10980606076,2.048990122930931,1
13618.707656860352,26063.56143951416,15381.813049316406,26063.56143951416,0.5225190612750815,1
21744.728088378903,7227.063179016114,5151.987075805664,7227.063179016114,3.008791752577319,1
296142.1608924866,81040.68040847781,27642.30966567993,81040.68040847781,3.6542408010373344,1
528602.8385162354,244483.9477539063,52442.78907775879,244483.9477539063,2.1621167498829768,1
117326.31921768188,93467.53358840942,40371.95444107056,93467.53358840942,1.2552628138700677,1
23732.244968414307,25194.94295120238,4.827976226806641,25194.94295120238,0.9419447789335728,1
38433.61139297485,300.7054328918456,207.4837684631348,300.7054328918456,127.81149653121908,1
180666.5062904358,60920.774936676025,28956.472873687744,60920.774936676025,2.9655976385433247,1
3263.711929321289,5171.895027160645,1763.3438110351562,5171.895027160645,0.6310475970957703,1
79789.69812393188,44655.85947036743,11278.688907623293,44655.85947036743,1.7867688377351338,1
39396.822452545166,2229.034900665283,100.19540786743164,2229.034900665283,17.674385645907424,1
291115.0455474853,109398.9610671997,42057.037353515625,109398.9610671997,2.661040312518729,1
20467.99659729004,27757.883071899403,22470.712661743164,27757.883071899403,0.7373759931286239,1
49575.8056640625,40987.61081695557,19094.70558166504,40987.61081695557,1.209531482219359,1
350801.7063140869,131089.32971954346,40078.163146972656,131089.32971954346,2.6760508049328107,1
835063.9939308167,315280.2586555481,21243.6318397522,315280.2586555481,2.6486402843355497,1
542898.416519165,288656.71157836914,30046.70143127441,288656.71157836914,1.8807753110974184,1
9584.486484527588,3578.722476959229,815.9279823303223,3578.722476959229,2.678186572508785,1
5839.407444000244,37.96815872192383,430.64355850219727,37.96815872192383,153.79748822605964,1
