E_alpha,E_beta,E_theta,E_delta,R,Label
136986.73248291016,96312.16526031493,18825.76942443848,96312.16526031493,1.4223201411022064,1
146171.80824279785,130787.84942626956,53341.15028381348,130787.84942626956,1.1176252907591455,1
119848.48976135254,94749.68910217284,37956.47621154785,94749.68910217284,1.2648958629522735,1
172054.82721328735,112076.10368728638,32551.348209381104,112076.10368728638,1.5351606770106232,1
236040.3537750244,161358.95252227786,40863.990783691406,161358.95252227786,1.4628277519490946,1
416050.1956939697,303351.64070129395,70297.4796295166,303351.64070129395,1.3715112756012695,1
353990.1375770569,262065.2318000793,97199.02276992798,262065.2318000793,1.3507710852964423,1
329166.6507720947,215481.2812805176,94328.16505432127,215481.2812805176,1.5275881450861588,1
404168.1289672852,244575.7389068603,71598.05297851562,244575.7389068603,1.652527477883655,1
559208.9295387268,347198.54593276983,57595.31259536743,347198.54593276983,1.6106315423538953,1
200264.99032974243,137176.33485794067,49250.18548965454,137176.33485794067,1.4599091784828349,1
53906.50033950806,29734.194278717045,5116.99914932251,29734.194278717045,1.8129463954600211,1
227111.81640625,130022.52578735354,31937.599182128903,130022.52578735354,1.7467113104515597,1
189701.0803222656,142916.9178009033,73703.76586914062,142916.9178009033,1.3273521654485796,1
31850.39758682251,39030.373096466064,13675.7493019104,39030.373096466064,0.8160413303788363,1
61043.739318847656,44052.3624420166,4154.205322265625,44052.3624420166,1.3857086416011344,1
301480.35287857056,170349.18069839478,46262.80069351196,170349.18069839478,1.7697787077258975,1
355153.1434059143,237033.6651802063,102756.5598487854,237033.6651802063,1.4983236374289153,1
291642.1890258789,211064.93473052976,90763.33045959473,211064.93473052976,1.381765234467883,1
331130.5642127991,208254.1584968567,96591.055393219,208254.1584968567,1.5900309823479324,1
512398.71978759766,265459.53750610363,59604.64477539063,265459.53750610363,1.9302328505556756,1
572431.1470985413,301334.6791267396,61164.43872451782,301334.6791267396,1.8996524022971155,1
115659.77334976196,77736.19890213014,45426.42831802368,77736.19890213014,1.4878496116767632,1
